study_type,ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,dense_ppl,policy_ppl,fixed_ppl,random_ppl,drift_aware_ppl,emc_ppl,lrm_ppl,ecov_ppl,dcp_ppl,qnr_ppl,dynr_ppl,dense_keep_all,policy_keep_all,policy_keep_eff,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,random_keep_all,random_prune_keep,random_quant_ratio
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-39.0,9.572114832340604,9.55312656180491,9.55507034810496,9.550172763918386,,,,,,9.557325635706512,9.557792313390726,1.0,1.0,1.0,1.0,0.7697265625,1.0,1.0,0.7697265625,1.0,1.0,0.765625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-39.2,9.572114832340604,9.550716815948917,9.549784174299743,9.550172763918386,,,,,,9.53844432634548,9.55514810778292,1.0,1.0,1.0,1.0,0.771484375,1.0,1.0,0.771484375,1.0,1.0,0.765625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-39.4,9.572114832340604,9.556159041184223,9.547763763148534,9.550172763918386,,,,,,9.541394496712902,9.559114690582089,1.0,1.0,1.0,1.0,0.7734375,1.0,1.0,0.7734375,1.0,1.0,0.765625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-39.6,9.572114832340604,9.557481192402705,9.563705536821267,9.550172763918386,,,,,,9.541394496712902,9.551571817474091,1.0,1.0,1.0,1.0,0.7740234375,1.0,1.0,0.7740234375,1.0,1.0,0.765625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-39.8,9.572114832340604,9.557170081542152,9.548463087862002,9.550172763918386,,,,,,9.541394496712902,9.553048818578269,1.0,1.0,1.0,1.0,0.775390625,1.0,1.0,0.775390625,1.0,1.0,0.765625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-40.0,9.572114832340604,9.54799686569526,9.5612931224524,9.550872265078802,,,,,,9.546365267372432,9.549162463797416,1.0,1.0,1.0,1.0,0.778125,1.0,1.0,0.778125,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-40.0,9.572114832340604,9.54799686569526,9.5612931224524,9.550872265078802,,,,,,9.546365267372432,9.549162463797416,1.0,1.0,1.0,1.0,0.778125,1.0,1.0,0.778125,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-40.2,9.572114832340604,9.549395600492527,9.543258232325046,9.550872265078802,,,,,,9.554059529875053,9.55584797336175,1.0,1.0,1.0,1.0,0.779296875,1.0,1.0,0.779296875,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-40.4,9.572114832340604,9.553048818578269,9.545666096302297,9.550872265078802,,,,,,9.538677201364113,9.555925739368073,1.0,1.0,1.0,1.0,0.78046875,1.0,1.0,0.78046875,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-40.6,9.572114832340604,9.554603803325964,9.551027716738808,9.550872265078802,,,,,,9.536426314322338,9.539220598518098,1.0,1.0,1.0,1.0,0.7837890625,1.0,1.0,0.7837890625,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-40.8,9.572114832340604,9.56284944915564,9.564873052602865,9.550872265078802,,,,,,9.536426314322338,9.54364655639703,1.0,1.0,1.0,1.0,0.784765625,1.0,1.0,0.784765625,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-41.0,9.572114832340604,9.551494086899934,9.542792264295436,9.550872265078802,,,,,,9.74257575430588,9.548463087862002,1.0,1.0,1.0,1.0,0.7873046875,1.0,1.0,0.7873046875,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-41.2,9.572114832340604,9.553981779055924,9.54356889031855,9.550872265078802,,,,,,9.74257575430588,9.556392348696296,1.0,1.0,1.0,1.0,0.78828125,1.0,1.0,0.78828125,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-41.4,9.572114832340604,9.548773915287155,9.552038214203288,9.550872265078802,,,,,,9.54061804763519,9.552271421108005,1.0,1.0,1.0,1.0,0.790234375,1.0,1.0,0.790234375,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-41.6,9.572114832340604,9.550328204193187,9.555614679139932,9.550872265078802,,,,,,9.532158849452143,9.547375271550386,1.0,1.0,1.0,1.0,0.7923828125,1.0,1.0,0.7923828125,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-41.8,9.572114832340604,9.550017326173514,9.53052995759027,9.550872265078802,,,,,,9.54450092497676,9.559192483173126,1.0,1.0,1.0,1.0,0.7939453125,1.0,1.0,0.7939453125,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-42.0,9.572114832340604,9.553904028869534,9.563549878818218,9.550872265078802,,,,,,9.539686392145708,9.54799686569526,1.0,1.0,1.0,1.0,0.794921875,1.0,1.0,0.794921875,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-42.4,9.572114832340604,9.545122331983606,9.550405925279328,9.550872265078802,,,,,,9.55188274609652,9.556159041184223,1.0,1.0,1.0,1.0,0.7978515625,1.0,1.0,0.7978515625,1.0,1.0,0.7890625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-42.8,9.572114832340604,9.543335895875371,9.54807456780884,9.533632848644617,,,,,,9.54861850030982,9.557170081542152,1.0,1.0,1.0,1.0,0.801953125,1.0,1.0,0.801953125,1.0,1.0,0.8125
