study_type,ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,dense_ppl,policy_ppl,fixed_ppl,random_ppl,drift_aware_ppl,emc_ppl,lrm_ppl,ecov_ppl,dcp_ppl,qnr_ppl,dynr_ppl,dense_keep_all,policy_keep_all,policy_keep_eff,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,random_keep_all,random_prune_keep,random_quant_ratio
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,0.0,0.0,9.572114832340604,10.192946521091791,10.32208197810678,10.354557467458417,,,,11.025778185977964,82.10305778591677,,,1.0,1.0,1.0,0.6896354044477145,1.0,1.0,0.6896354146301746,1.0,1.0,0.6874999850988388,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-2.0,0.0,9.572114832340604,10.226513637274376,10.34116790091199,10.30361822146688,,,,11.025778185977964,82.19130181823408,,,1.0,1.0,1.0,0.6911458224058151,1.0,1.0,0.6911458298563957,1.0,1.0,0.6937499878307184,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-4.0,0.0,9.572114832340604,10.169746847929574,10.319898174876087,10.30361822146688,,,,11.033138338516554,82.5801660513749,,,1.0,1.0,1.0,0.6921354052921136,1.0,1.0,0.6921354122459888,1.0,1.0,0.6937499878307184,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-6.0,0.0,9.572114832340604,10.182085807459607,10.27339240971896,10.30361822146688,,,,11.033138338516554,82.5801660513749,,,1.0,1.0,1.0,0.6933333205680052,1.0,1.0,0.6933333277702332,1.0,1.0,0.6937499878307184,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-8.0,0.0,9.572114832340604,10.147260585862687,10.304959925771444,10.30361822146688,,,,11.033138338516554,82.20468039748646,,,1.0,1.0,1.0,0.6948958213130633,1.0,1.0,0.694895826280117,1.0,1.0,0.6937499878307184,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-10.0,0.0,9.572114832340604,10.150233851628164,10.306721177814584,10.30361822146688,,,,11.031252953523042,82.20468039748646,,,1.0,1.0,1.0,0.695989570269982,1.0,1.0,0.6959895752370358,1.0,1.0,0.6937499878307184,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-12.0,0.0,9.572114832340604,10.159737621765554,10.270466648561008,10.30361822146688,,,,11.031252953523042,82.20468039748646,,,1.0,1.0,1.0,0.6966666541993618,1.0,1.0,0.6966666579246521,1.0,1.0,0.6937499878307184,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-54.0,0.0,9.572114832340604,10.125236031552571,10.183743182862065,10.192448830775684,,,,11.031252953523042,81.66059846317384,,,1.0,1.0,1.0,0.7067187383770943,1.0,1.0,0.7067187316715717,1.0,1.0,0.7062499858438969,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-56.0,0.0,9.572114832340604,10.094876266614513,10.118069822504175,10.21063028073782,,,,11.031252953523042,81.59151391453369,,,1.0,1.0,1.0,0.7146354064345359,1.0,1.0,0.7146354009707768,1.0,1.0,0.7124999895691871,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-58.0,0.0,9.572114832340604,10.03320472706595,10.0330414275367,10.102026048629591,,,,11.031252953523042,80.6645727225437,,,1.0,1.0,1.0,0.7322395838797092,1.0,1.0,0.7322395828862985,1.0,1.0,0.7312500032285849,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-60.0,0.0,9.572114832340604,9.944923047610503,9.87958372331237,9.855733680931126,,,,11.036460991385356,80.86701291757005,,,1.0,1.0,1.0,0.7577083324392636,1.0,1.0,0.757708344856898,1.0,1.0,0.7562499962747097,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-70.0,0.0,9.572114832340604,9.71850281782942,9.699460956787696,9.723011958138503,,,,11.035383264615897,80.42336050281331,,,1.0,1.0,1.0,0.8020833479861419,1.0,1.0,0.8020833432674408,1.0,1.0,0.800000011920929,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-80.0,0.0,9.572114832340604,9.690151166525938,9.685184344787352,9.66093872797913,,,,11.035383264615897,80.42859656912239,,,1.0,1.0,1.0,0.8251041889190673,1.0,1.0,0.8251042142510414,1.0,1.0,0.8250000265737375,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-84.0,0.0,9.572114832340604,9.681874544716388,9.66455596734112,9.640126633502945,,,,11.035383264615897,79.93008729256562,,,1.0,1.0,1.0,0.8456250150998433,1.0,1.0,0.8456250190734863,1.0,1.0,0.8437500230967998,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,-86.0,0.0,9.572114832340604,9.68691850112472,9.654572531871562,9.618106934307406,,,,11.035383264615897,79.88326697527198,,,1.0,1.0,1.0,0.8586458429694176,1.0,1.0,0.858645848929882,1.0,1.0,0.8562500136593978,1.0
