ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,policy_ppl,fixed_ppl,policy_keep_all,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_levels_kappa_order,fixed_action_probs_kappa_order
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-4.0,-6.5,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-4.0,-6.5,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-10.0,-5.0,-5.0,10.314656533661848,10.730784100024461,0.7049107148445078,0.9992187507450581,0.8130580357142857,0.7000000178813934,0.9992187507450581,0.8130580357142857,0.200000|1.000000,0.000000|0.367188|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000|0.000000|0.000000|0.002790|0.626116|0.000000|0.002232|0.000000|0.000000|0.000000|0.000000,0.000000|0.247210|0.127790|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.126674|0.494420|0.000000|0.000000|0.003906|0.000000|0.000000|0.000000,0.000000|0.247210|0.127790|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.126674|0.494420|0.000000|0.000000|0.003906|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-4.0,-6.0,9.789250317257856,9.78856749716137,1.0,0.9996651788907391,0.9991629464285714,1.0,0.9996651788907391,0.9991629464285714,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.998326|0.000000|0.001674|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.001674|0.996652|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.001674|0.996652|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-4.0,-6.0,9.789250317257856,9.78856749716137,1.0,0.9996651788907391,0.9991629464285714,1.0,0.9996651788907391,0.9991629464285714,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.998326|0.000000|0.001674|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.001674|0.996652|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.001674|0.996652|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,0.0,-5.0,-5.0,10.509294379702538,11.134924224649613,0.5084821451455355,0.9959821440279484,0.6953125,0.5,0.99598214668887,0.6953125,0.200000|1.000000,0.000000|0.586496|0.016741|0.000000|0.011161|0.000000|0.000000|0.000000|0.000000|0.000000|0.002790|0.373884|0.000000|0.008929|0.000000|0.000000|0.000000|0.000000,0.000000|0.450893|0.161272|0.000000|0.010045|0.002790|0.000000|0.000000|0.000000|0.000000|0.145089|0.222656|0.000000|0.003348|0.003906|0.000000|0.000000|0.000000,0.000000|0.450893|0.161272|0.000000|0.010045|0.002790|0.000000|0.000000|0.000000|0.000000|0.145089|0.222656|0.000000|0.003348|0.003906|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-4.0,-5.5,9.787201999849339,9.784471576656044,1.0,0.9991071431764534,0.9977678571428571,1.0,0.9991071437086377,0.9977678571428571,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.995536|0.000000|0.004464|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.004464|0.991071|0.000000|0.000000|0.004464|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.004464|0.991071|0.000000|0.000000|0.004464|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-4.0,-5.5,9.787201999849339,9.784471576656044,1.0,0.9991071431764534,0.9977678571428571,1.0,0.9991071437086377,0.9977678571428571,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.995536|0.000000|0.004464|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.004464|0.991071|0.000000|0.000000|0.004464|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.004464|0.991071|0.000000|0.000000|0.004464|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-10.0,-4.0,-7.0,10.223684426948255,10.226537415468028,0.789732144347259,0.9782366098037788,0.8783482142857143,0.800000011920929,0.978236627898046,0.8783482142857143,0.200000|1.000000,0.000000|0.134487|0.019531|0.000000|0.108817|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.737165|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.004464|0.218750|0.000000|0.000558|0.026228|0.000000|0.000000|0.000000|0.000000|0.212612|0.455357|0.000000|0.025670|0.056362|0.000000|0.000000|0.000000,0.000000|0.004464|0.218750|0.000000|0.000558|0.026228|0.000000|0.000000|0.000000|0.000000|0.212612|0.455357|0.000000|0.025670|0.056362|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-4.0,-5.0,9.788908901255894,9.810099226842723,1.0,0.9830357150307724,0.9573102678571429,1.0,0.9830357304641179,0.9573102678571429,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000558|0.914621|0.000000|0.084821|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.082031|0.833147|0.000000|0.003348|0.081473|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.082031|0.833147|0.000000|0.003348|0.081473|0.000000|0.000000|0.000000
